Title,Job Family,Union
Department Manager Office of Civil Right,Human Resources & Labor Relations,Non-Represented
Department Manager Operating Budgets,Finance & Accounting,Non-Represented
Department Manager Operations Planning,Transportation Operations,Non-Represented
Department Manager Planning,Planning,Non-Represented
Department Manager Procurement,Procurement,Non-Represented
Department Manager Property Development,Planning,Non-Represented
"Department Manager, Capital Development & Control",Finance & Accounting,Non-Represented
"Department Manager, Customer Access",Planning,Non-Represented
"Department Manager, Customer Services",Public Affairs & Marketing,Non-Represented
"Department Manager, Government & Community Relations",Public Affairs & Marketing,Non-Represented
"Department Manager, Human Resources",Human Resources & Labor Relations,Non-Represented
"Department Manager, Information Systems",Information Systems,Non-Represented
"Department Manager, Insurance",Finance & Accounting,Non-Represented
"Department Manager, Internal Audit",Audit,Non-Represented
"Department Manager, Labor Relations",Administrative & Management,Non-Represented
"Department Manager, Marketing & Research",Public Affairs & Marketing,Non-Represented
"Department Manager, Media Public Affairs",Public Affairs & Marketing,Non-Represented
"Department Manager, Office of Civil Rights",Human Resources & Labor Relations,Non-Represented
"Department Manager, Operating Budgets & Analysis",Finance & Accounting,Non-Represented
"Department Manager, Operations Planning",Transportation Operations,Non-Represented
"Department Manager, Operations Training & Development",Transportation Operations,Non-Represented
"Department Manager, Planning",Planning,Non-Represented
"Department Manager, Procurement",Procurement,Non-Represented
"Department Manager, Property Development",Planning,Non-Represented
"Department Manager, Rail Vehicle Capital Program",Engineering & Systems Engineering,Non-Represented
"Department Manager, Real Estate & Right of Way Management",Administrative & Management,Non-Represented
Deputy Assistant District Secretary,Administrative & Management,Non-Represented
"Deputy Executive Manager, Transit System Development",Executive Management,Non-Represented
Deputy General Manager,Executive Management,Non-Represented
"Deputy Managing Director, Capitol Corridor",Administrative & Management,Non-Represented
Deputy Police Chief,Police,Non-Represented
Director,Administrative & Management,Non-Represented
District Architect,Engineering & Systems Engineering,Non-Represented
District Real Estate Surveyor,Real Estate,AFSCME
District Right of Way Surveyor,Real Estate,AFSCME
District Secretary,Administrative & Management,Non-Represented
Division Manager Maintenance Support,"Maintenance, Vehicle & Facilities",Non-Represented
"Division Manager, Maintenance Support","Maintenance, Vehicle & Facilities",Non-Represented
Documentation Config Controlle,Engineering & Systems Engineering,SEIU
Documentation Configuration Controller,Engineering & Systems Engineering,SEIU
Drafting Supervisor,Engineering & Systems Engineering,SEIU
Drug Testing Coordinator,Human Resources & Labor Relations,Non-Represented
Dump Truck Equipment Operator,"Maintenance, Vehicle & Facilities",SEIU
Dump Truck/Equipment Op,"Maintenance, Vehicle & Facilities",SEIU
Elect/Electro-Mechanical Assembler,"Maintenance, Vehicle & Facilities",SEIU
Electrical Engineer,Engineering & Systems Engineering,Non-Represented
Electrical Foreworker,"Maintenance, Vehicle & Facilities",SEIU
Electrical Helper,"Maintenance, Vehicle & Facilities",SEIU
Electrician,"Maintenance, Vehicle & Facilities",SEIU
Electronic Repair Shop Foreworker,"Maintenance, Vehicle & Facilities",SEIU
Electronic Repair Shop Technician,"Maintenance, Vehicle & Facilities",SEIU
Electronic/Electro-Mechanical Assembler,"Maintenance, Vehicle & Facilities",SEIU
Electronics & Comm Engineering,Engineering & Systems Engineering,Non-Represented
Electronics and Communications Engineer,Engineering & Systems Engineering,Non-Represented
Elevator/Escalator Foreworker,"Maintenance, Vehicle & Facilities",SEIU
Elevator/Escalator Worker,"Maintenance, Vehicle & Facilities",SEIU
Employee Development Specialist,Training: Technical & Management,ATU
Employee Development Specialist - ATU,Training: Technical & Management,ATU
Employee Development Specialist - SEIU,Training: Technical & Management,SEIU
Employee Services Representative,Human Resources & Labor Relations,Non-Represented
Energy Analyst,Finance & Accounting,AFSCME
Engineer,Engineering & Systems Engineering,Non-Represented
Engineering,Engineering & Systems Engineering,Non-Represented
Enterprise Info Project Spec,Information Systems,AFSCME
Enterprise Information Project Specialist,Information Systems,AFSCME
Environmental Administrator,Safety,AFSCME
Environmental Engineer,Engineering & Systems Engineering,Non-Represented
ERS Foreworker,"Maintenance, Vehicle & Facilities",SEIU
ERS Technician,"Maintenance, Vehicle & Facilities",SEIU
Executive Manager External Affairs,Executive Management,Non-Represented
Executive Manager Planning & Budget,Finance & Accounting,Non-Represented
Executive Manager Transit System Compl,Executive Management,Non-Represented
"Executive Manager, External Affairs",Executive Management,Non-Represented
"Executive Manager, Planning & Budget",Finance & Accounting,Non-Represented
"Executive Manager, Transit System Compliance",Executive Management,Non-Represented
"Executive Manager, West Bay Extensions",Executive Management,Non-Represented
Executive Staff Assistant,Administrative & Management,Non-Represented
Expeditor,Procurement,SEIU
Expeditor/Clerk,Procurement,SEIU
Fac/Uti Location Coordinator,Real Estate,AFSCME
Facilities Maintenance Supervisor,"Maintenance, Vehicle & Facilities",AFSCME
Facilities Utility Location Coordinator,Real Estate,AFSCME
Financial Analyst I / II,Finance & Accounting,AFSCME
Fire Protection Worker,"Maintenance, Vehicle & Facilities",SEIU
Fire Service Worker,"Maintenance, Vehicle & Facilities",SEIU
General Counsel,Legal & Paralegal,Non-Represented
General Manager,Executive Management,Non-Represented
Gov & Comm Relations Spec,Public Affairs & Marketing,SEIU
Government & Community Relations Representative I / II,Public Affairs & Marketing,AFSCME
Government & Community Relations Specialist,Public Affairs & Marketing,SEIU
Graphic Artist,Technical Support,SEIU
Grounds Foreworker,"Maintenance, Vehicle & Facilities",SEIU
Grounds Worker,"Maintenance, Vehicle & Facilities",SEIU
Grounds Worker/Applicator,"Maintenance, Vehicle & Facilities",SEIU
Group Manager,Administrative & Management,Non-Represented
Group Manager Capital Program,Engineering & Systems Engineering,Non-Represented
Group Manager Elec & Mechanical Engineering,Engineering & Systems Engineering,Non-Represented
Group Manager Project Controls,Administrative & Management,Non-Represented
Group Manager Rail Vehicle Cap Prog,Engineering & Systems Engineering,Non-Represented
Group Manager Rolling Stock & Shops,Engineering & Systems Engineering,Non-Represented
Group Manager Seismic Retrofit Cap,Engineering & Systems Engineering,Non-Represented
Group Manager Systems Capital Prog,Engineering & Systems Engineering,Non-Represented
Group Manager Systems Engineering,Engineering & Systems Engineering,Non-Represented
Group Manager Vehicle Maintenance Engineering,Engineering & Systems Engineering,Non-Represented
"Group Manager, Automatic Fare Collection Capital Program",Engineering & Systems Engineering,Non-Represented
"Group Manager, Capital Program",Engineering & Systems Engineering,Non-Represented
"Group Manager, Capital Projects",Engineering & Systems Engineering,Non-Represented
"Group Manager, Electrical & Mechanical Engineering",Engineering & Systems Engineering,Non-Represented
"Group Manager, Engineering Liaison",Engineering & Systems Engineering,Non-Represented
"Group Manager, Operations Liaison",Transportation Operations,Non-Represented
"Group Manager, Operations Support & Review",Transportation Operations,Non-Represented
"Group Manager, Project Controls",Administrative & Management,Non-Represented
"Group Manager, Rail Vehicle Capitol Program",Engineering & Systems Engineering,Non-Represented
"Group Manager, Revenue Vehicle","Maintenance, Vehicle & Facilities",Non-Represented
"Group Manager, Seismic Retrofit Capital Program",Engineering & Systems Engineering,Non-Represented
"Group Manager, Shops & Structures Capital Program",Engineering & Systems Engineering,Non-Represented
"Group Manager, Stations Capital Program",Engineering & Systems Engineering,Non-Represented
"Group Manager, Systems Capital Program",Engineering & Systems Engineering,Non-Represented
"Group Manager, Systems Engineering",Engineering & Systems Engineering,Non-Represented
"Group Manager, Vehicle Maintenance & Engineering",Engineering & Systems Engineering,Non-Represented
"Group Manager, Warm Springs Extension Program",Engineering & Systems Engineering,Non-Represented
Hazardous Materials Environmental Compliance Manager,Safety,AFSCME
HR Receptionist,Human Resources & Labor Relations,Non-Represented
Human Resources Administrative Assistant,Human Resources & Labor Relations,Non-Represented
Human Resources Information Systems Analyst,Human Resources & Labor Relations,Non-Represented
Human Resources Program Mngr,Human Resources & Labor Relations,Non-Represented
Human Resources Receptionist,Clerical,Non-Represented
Independent Pol Investigator,Police,Non-Represented
Independent Police Auditor,Executive Management,Non-Represented
Independent Police Investigator,Police,Non-Represented
Industrial Hygienist,Safety,AFSCME
Info Systems Security Officer,Information Systems,Non-Represented
Information Systems Analyst I / II,Information Systems,Non-Represented
Information Systems Auditor,Audit,Non-Represented
Information Systems Security Officer,Information Systems,AFSCME
Instructional Design Spec,Training: Technical & Management,Non-Represented
Instructional Design Specialist,Training: Technical & Management,Non-Represented
Insurance Analyst,Finance & Accounting,AFSCME
Intermediate Account Clerk,Finance & Accounting,SEIU
Intermediate Clerk,Clerical,SEIU
Internal Auditor I / II,Audit,Non-Represented
Inventory Control Analyst,Procurement,SEIU
Inventory Control Technician,Procurement,SEIU
Investment Plans Assistant I,Human Resources & Labor Relations,Non-Represented
Investment Plans Assistant I / II / Technician,Human Resources & Labor Relations,Non-Represented
Irrigation Grounds Worker,"Maintenance, Vehicle & Facilities",SEIU
Irrigation/Grounds Worker,"Maintenance, Vehicle & Facilities",SEIU
Junior Accountant,Finance & Accounting,SEIU
Junior Applications Programmer Analyst,Information Systems,SEIU
Junior Engineer,Engineering & Systems Engineering,Non-Represented
Junior Engineering,Engineering & Systems Engineering,Non-Represented
Labor Relations Representative I,Human Resources & Labor Relations,Non-Represented
Labor Relations Representative II,Human Resources & Labor Relations,Non-Represented
Legal Administrative Analyst,Legal & Paralegal,SEIU
Legal Administrative Assistant,Legal & Paralegal,SEIU
Legal Office Supervisor,Legal & Paralegal,AFSCME
Legislative Officer,Public Affairs & Marketing,Non-Represented
Liability Risk Analyst,Finance & Accounting,AFSCME
Locksmith,"Maintenance, Vehicle & Facilities",SEIU
Logistics Supervisor,Procurement,AFSCME
Maintenance Engineering,"Maintenance, Vehicle & Facilities",SEIU
Maintenance Planner,"Maintenance, Vehicle & Facilities",SEIU
Maintenance Support Administrator,"Maintenance, Vehicle & Facilities",AFSCME
Manager of Access Programs,Administrative & Management,AFSCME
Manager of Access/Accessibility,Administrative & Management,AFSCME
Manager of Accounting,Finance & Accounting,AFSCME
Manager of ADA & Accessible Services,Administrative & Management,Non-Represented
Manager of Automatic Fare Collection Maintenance,"Maintenance, Vehicle & Facilities",AFSCME
Manager of Automotive & Equipment Maintenance,"Maintenance, Vehicle & Facilities",AFSCME
Manager of Capital Budgets,Finance & Accounting,Non-Represented
Manager of Capital Project Control,Finance & Accounting,Non-Represented
Manager of Central Control,Transportation Operations,Non-Represented
Manager of Central Support,Transportation Operations,Non-Represented
Manager of Civil & Structural Engineering,Engineering & Systems Engineering,Non-Represented
Manager of Civil Rights Programs,Human Resources & Labor Relations,Non-Represented
Manager of Communications,Technical Support,Non-Represented
Manager of Community Relations,Public Affairs & Marketing,Non-Represented
Manager of Computer Systems Engineering,Engineering & Systems Engineering,Non-Represented
Manager of Construction Services,Engineering & Systems Engineering,Non-Represented
Manager of Contract Administration,Procurement,Non-Represented
Manager of Control & Scheduling,Finance & Accounting,Non-Represented
Manager of Credit & Debit Fare Programs,Finance & Accounting,AFSCME
Manager of Customer Services,Administrative & Management,AFSCME
Manager of Drafting & Configuratio,Engineering & Systems Engineering,AFSCME
Manager of Drafting & Configuration,Engineering & Systems Engineering,AFSCME
Manager of Elect & Comm Engineering,Engineering & Systems Engineering,Non-Represented
Manager of Electrical Engineering,Engineering & Systems Engineering,Non-Represented
Manager of Electronics & Communications Engineering,Engineering & Systems Engineering,Non-Represented
Manager of Employee Patron Safety,Safety,AFSCME
Manager of Employee/Patron Safety,Safety,AFSCME
Manager of Engineering Safety,Safety,Non-Represented
Manager of Enterprise Perf. Mgmt.,Administrative & Management,Non-Represented
Manager of Enterprise Performance Management,Administrative & Management,Non-Represented
Manager of Env Compliance,Safety,Non-Represented
Manager of Environmental Compliance,Safety,Non-Represented
Manager of Equal Employment Opportunity Training,Training: Technical & Management,Non-Represented
Manager of Financial Planning,Finance & Accounting,Non-Represented
Manager of Fleet and Capacity Planning,Finance & Accounting,Non-Represented
Manager of Fleet and Capacity Plng,Finance & Accounting,Non-Represented
Manager of Grant Development & Reporting,Finance & Accounting,Non-Represented
Manager of Information Systems,Information Systems,Non-Represented
Manager of Internal Audit,Audit,Non-Represented
Manager of Inventory Management,Procurement,AFSCME
Manager of Labor Relations,Human Resources & Labor Relations,Non-Represented
Manager of Local Government & Community Relations,Public Affairs & Marketing,Non-Represented
Manager of Local Govt & Com Rel,Public Affairs & Marketing,Non-Represented
Manager of Logistics,Procurement,Non-Represented
Manager of Maintenance Administration,"Maintenance, Vehicle & Facilities",Non-Represented
Manager of Maintenance Engineering,Engineering & Systems Engineering,Non-Represented
Manager of Management Analysis,Administrative & Management,Non-Represented
Manager of Marketing Capital Corridor,Public Affairs & Marketing,Non-Represented
Manager of Mechanical Engineering,Engineering & Systems Engineering,Non-Represented
Manager of Operating Budgets,Finance & Accounting,Non-Represented
Manager of Operations Liaison,Transportation Operations,Non-Represented
Manager of Operations Safety,Safety,AFSCME
Manager of Planning,Planning,Non-Represented
Manager of Purchasing,Procurement,Non-Represented
Manager of Quality Assurance,"Maintenance, Vehicle & Facilities",AFSCME
Manager of Rail Operations Support,Transportation Operations,Non-Represented
Manager of Reliability Engineering,Engineering & Systems Engineering,Non-Represented
Manager of Research & Development,Engineering & Systems Engineering,Non-Represented
Manager of Revenue Control,Finance & Accounting,Non-Represented
Manager of Right of Way Services,Real Estate,Non-Represented
Manager of Schedules & Service,Transportation Operations,Non-Represented
Manager of Schedules & Services,Transportation Operations,Non-Represented
Manager of Security Programs,Safety,Non-Represented
Manager of Special Construction Services,"Maintenance, Vehicle & Facilities",Non-Represented
Manager of Special Projects - Transit System Development,Administrative & Management,AFSCME
Manager of Station Operations Support,Transportation Operations,Non-Represented
Manager of Strategic Maintenance Progr,"Maintenance, Vehicle & Facilities",Non-Represented
Manager of Strategic Maintenance Program,"Maintenance, Vehicle & Facilities",Non-Represented
Manager of Systems Configuration Control,Engineering & Systems Engineering,Non-Represented
"Manager of Technical Resources, Publications & Graphics",Administrative & Management,AFSCME
Manager of Telecom Revenue Prog,"Maintenance, Vehicle & Facilities",Non-Represented
Manager of Telecommunications Revenue Programs,"Maintenance, Vehicle & Facilities",Non-Represented
Manager of Time & Labor Administration,Finance & Accounting,AFSCME
Manager of Time and Labor Adm,Finance & Accounting,AFSCME
Manager of Track Geometry,"Maintenance, Vehicle & Facilities",AFSCME
Manager of Traction Power Engineering,Engineering & Systems Engineering,Non-Represented
Manager of Train Control Engineering,Engineering & Systems Engineering,Non-Represented
Manager of Transit Vehicle Cleanin,"Maintenance, Vehicle & Facilities",AFSCME
Manager of Transit Vehicle Cleaning,"Maintenance, Vehicle & Facilities",AFSCME
Manager of Treasury Operations,Finance & Accounting,Non-Represented
Manager of Vehicle Systems Engineering,Engineering & Systems Engineering,Non-Represented
Manager of Warranty Administration,"Maintenance, Vehicle & Facilities",Non-Represented
"Manager, Leadership Program",Administrative & Management,Non-Represented
"Managing Director, Capitol Cor",Executive Management,Non-Represented
"Managing Director, Capitol Corridor",Executive Management,Non-Represented
Marketing Representative I / II,Public Affairs & Marketing,AFSCME
Marketing Representative II,Public Affairs & Marketing,AFSCME
Material Control Analyst,Procurement,SEIU
Material Control Systems Analyst,Procurement,AFSCME
Material Control Systems Supervisor,Procurement,SEIU
Material Coordinator,Procurement,SEIU
Material Expeditor,Procurement,SEIU
Mechanical Engineer,Engineering & Systems Engineering,Non-Represented
Mechanical Officer Capital Corridor,"Maintenance, Vehicle & Facilities",Non-Represented
"Mechanical Officer, Capitol Corridor","Maintenance, Vehicle & Facilities",Non-Represented
Multimedia Assistant Producer,Public Affairs & Marketing,SEIU
Multimedia Managing Producer,Public Affairs & Marketing,Non-Represented
Multimedia Producer,Public Affairs & Marketing,Non-Represented
Office Services Supervisor,Administrative & Management,SEIU
Officer Services Support Clerk,Clerical,SEIU
Operations Foreworker,Transportation Operations,ATU
Operations Supervisor,Transportation Operations,AFSCME
Operations Supervisor-Ops Liaison,Transportation Operations,AFSCME
Operations Support Operations Liaison,Transportation Operations,AFSCME
Operations Support Systems Analyst,Information Systems,ATU
Operations Training Supervisor,Training: Technical & Management,Non-Represented
Outreach Recruiter,Human Resources & Labor Relations,Non-Represented
Overhead Door Worker,"Maintenance, Vehicle & Facilities",SEIU
Painter,"Maintenance, Vehicle & Facilities",SEIU
Personnel Analyst I,Human Resources & Labor Relations,Non-Represented
Personnel Analyst I / II,Human Resources & Labor Relations,Non-Represented
Personnel Analyst II,Human Resources & Labor Relations,Non-Represented
Planner,Planning,Non-Represented
Police Administrative Specialist,Police,BPOA
Police Administrative Supervisor,Police,BPMA
Police CAD/RMS Administrator,Police,BPMA
Police Chief,Police,Non-Represented
"Police Civil Supervisor, Administrative Services",Police,BPMA
"Police Civilian Supervisor, Communications",Police,BPMA
Police Clerk,Police,BPOA
Police Commander,Police,BPMA
Police Dispatcher,Police,BPOA
Police Lieutenant,Police,BPMA
Police Officer,Police,BPOA
Police Sergeant,Police,BPMA
Power & Mechanical Foreworker,"Maintenance, Vehicle & Facilities",SEIU
Power & Mechanical Worker,"Maintenance, Vehicle & Facilities",SEIU
Power & Support Controller,Transportation Operations,ATU
Power & Way Controller,"Maintenance, Vehicle & Facilities",AFSCME
Principal Admin Analyst - AFSC,Administrative & Management,AFSCME
Principal Admin Analyst - NR,Administrative & Management,Non-Represented
Principal Administrative Analyst,Administrative & Management,Non-Represented
Principal Architect,Engineering & Systems Engineering,Non-Represented
Principal Civil Engineer,Engineering & Systems Engineering,Non-Represented
Principal Civil Engineering,Engineering & Systems Engineering,Non-Represented
Principal Computer Systems Engineer,Engineering & Systems Engineering,Non-Represented
Principal Computer Systems Engineering,Engineering & Systems Engineering,Non-Represented
Principal Construction Engineer,Engineering & Systems Engineering,Non-Represented
Principal Construction Engineering,Engineering & Systems Engineering,Non-Represented
Principal Contract Specialist,Procurement,Non-Represented
Principal Electrical Engineer,Engineering & Systems Engineering,Non-Represented
Principal Electrical Engineering,Engineering & Systems Engineering,Non-Represented
Principal Engineer,Engineering & Systems Engineering,Non-Represented
Principal Engineering,Engineering & Systems Engineering,Non-Represented
Principal Financial Analyst,Finance & Accounting,AFSCME
Principal Gov & Comm Rel Representative,Public Affairs & Marketing,AFSCME
Principal Government & Community Relations Representative,Public Affairs & Marketing,AFSCME
Principal Internal Auditor,Audit,Non-Represented
Principal Labor Relations Representative,Human Resources & Labor Relations,Non-Represented
Principal Marketing Representative,Public Affairs & Marketing,AFSCME
Principal Mechanical Engineer,Engineering & Systems Engineering,Non-Represented
Principal Mechanical Engineering,Engineering & Systems Engineering,Non-Represented
Principal Personnel Analyst,Human Resources & Labor Relations,Non-Represented
Principal Planner,Planning,AFSCME
Principal Prop Developmentlop Officer,Real Estate,AFSCME
Principal Property Development Officer,Real Estate,AFSCME
Principal Rail Vehicle Engineer,Engineering & Systems Engineering,Non-Represented
Principal Real Estate Officer,Real Estate,AFSCME
Principal Reliability Engineer,Engineering & Systems Engineering,Non-Represented
Principal Research Projects Analyst,Administrative & Management,Non-Represented
Principal Right of Way Officer,Real Estate,AFSCME
Principal Safety Engineer,Safety,Non-Represented
Principal Structural Engineer,Engineering & Systems Engineering,Non-Represented
Principal Track Engineer,Engineering & Systems Engineering,Non-Represented
Principal Train Control Engineer,Engineering & Systems Engineering,Non-Represented
Principal Train Control Engineering,Engineering & Systems Engineering,Non-Represented
Principal Vehicle Systems Engineer,Engineering & Systems Engineering,Non-Represented
Principal Vehicle Systems Engineering,Engineering & Systems Engineering,Non-Represented
Procurement Analyst,Procurement,AFSCME
"Program Control Administrator, Telecommunications Revenue",Administrative & Management,AFSCME
Program Logistics Manager,Executive Management,Non-Represented
Program Manager,Administrative & Management,Non-Represented
Project Control Administrator,Finance & Accounting,SEIU
Project Development Manager,Engineering & Systems Engineering,Non-Represented
Project Manager,Engineering & Systems Engineering,Non-Represented
"Project Manager, Business Advancement Program",Information Systems,Non-Represented
"Project Manager, Strategic Maintenance Program","Maintenance, Vehicle & Facilities",Non-Represented
Project Support Manager,Engineering & Systems Engineering,Non-Represented
"Public Information Manager, Capital Projects",Public Affairs & Marketing,Non-Represented
Public Information Officer,Public Affairs & Marketing,AFSCME
Purchasing Support Supervisor,Procurement,AFSCME
Quality Assurance Analyst,"Maintenance, Vehicle & Facilities",SEIU
Quality Assurance Officer,"Maintenance, Vehicle & Facilities",SEIU
Quality Team Leader,"Maintenance, Vehicle & Facilities",SEIU
Query & Reports Spec,Information Systems,AFSCME
Query & Reports Specialist,Information Systems,AFSCME
"Rail Services Compliance Officer, Capitol Corridor","Maintenance, Vehicle & Facilities",Non-Represented
Rail Svs Compl OfficerCapitol,"Maintenance, Vehicle & Facilities",Non-Represented
Rail Vehicle Engineer,Engineering & Systems Engineering,Non-Represented
Rail Vehicle Project Manager,Engineering & Systems Engineering,Non-Represented
Real Estate Officer,Real Estate,SEIU
Real Estate Technician,Real Estate,SEIU
Real Time Programmer Analyst,Information Systems,SEIU
Reliability Engineer,Engineering & Systems Engineering,Non-Represented
Reliability Engineering,Engineering & Systems Engineering,Non-Represented
Reprographics Equipment Oper,Clerical,SEIU
